timestamp,TJ-00CB-0000048A-0000,TJ-00CB-0000047F-0000,TJ-00CB-0000047B-0000,TJ-00CB-00000480-0000,TJ-00CB-00000482-0000,TJ-00CB-00000477-0000,TJ-00CB-00000486-0000,TJ-00CB-00000488-0000,TJ-00CB-0000047D-0000,TJ-00CB-00000483-0000,TJ-00CB-00000481-0000
1763545171683,-83,-80,-69,-77,-100,-67,-70,-77,-81,-72,-100
1763545171707,-83,-80,-69,-77,-100,-67,-70,-77,-81,-72,-100
1763545171732,-83,-80,-69,-77,-100,-67,-70,-77,-81,-72,-100
1763545171757,-83,-80,-69,-77,-100,-67,-70,-77,-81,-72,-100
1763545171782,-83,-80,-69,-77,-100,-67,-70,-77,-81,-72,-100
1763545171807,-83,-80,-69,-77,-100,-67,-70,-77,-81,-72,-100
1763545171832,-83,-80,-69,-77,-100,-67,-70,-77,-81,-72,-100
1763545171858,-82,-80,-71,-77,-90,-66,-70,-77,-80,-73,-100
1763545171884,-82,-80,-71,-77,-90,-66,-70,-77,-80,-73,-100
1763545171908,-82,-80,-71,-77,-90,-66,-70,-77,-80,-73,-100
1763545171933,-82,-80,-71,-77,-90,-66,-70,-77,-80,-73,-100
1763545171958,-82,-80,-71,-77,-90,-66,-70,-77,-80,-73,-100
1763545171984,-82,-80,-71,-77,-90,-66,-70,-77,-80,-73,-100
1763545172009,-82,-80,-71,-77,-90,-66,-70,-77,-80,-73,-100
1763545172035,-82,-80,-71,-77,-90,-66,-70,-77,-80,-73,-100
1763545172059,-82,-80,-71,-77,-90,-66,-70,-77,-80,-73,-100
1763545172084,-82,-80,-71,-77,-90,-66,-70,-77,-80,-73,-100
1763545172109,-82,-80,-71,-77,-90,-66,-70,-77,-80,-73,-100
1763545172134,-82,-80,-71,-77,-90,-66,-70,-77,-80,-73,-100
1763545172160,-82,-80,-71,-77,-90,-66,-70,-77,-80,-73,-100
1763545172184,-82,-80,-71,-77,-90,-66,-70,-77,-80,-73,-100
1763545172210,-82,-80,-71,-77,-90,-66,-70,-77,-80,-73,-100
1763545172235,-82,-80,-71,-77,-90,-66,-70,-77,-80,-73,-100
1763545172260,-82,-80,-71,-77,-90,-66,-70,-77,-80,-73,-100
1763545172285,-82,-80,-71,-77,-90,-66,-70,-77,-80,-73,-100
1763545172311,-82,-80,-71,-77,-90,-66,-70,-77,-80,-73,-100
1763545172336,-82,-80,-71,-77,-90,-66,-70,-77,-80,-73,-100
1763545172361,-77,-74,-70,-76,-90,-68,-69,-78,-78,-72,-100
1763545172386,-77,-74,-70,-76,-90,-68,-69,-78,-78,-72,-100
1763545172411,-77,-74,-70,-76,-90,-68,-69,-78,-78,-72,-100
1763545172437,-77,-74,-70,-76,-90,-68,-69,-78,-78,-72,-100
1763545172462,-77,-74,-70,-76,-90,-68,-69,-78,-78,-72,-100
1763545172487,-77,-74,-70,-76,-90,-68,-69,-78,-78,-72,-100
1763545172513,-77,-74,-70,-76,-90,-68,-69,-78,-78,-72,-100
1763545172538,-77,-74,-70,-76,-90,-68,-69,-78,-78,-72,-100
1763545172563,-77,-74,-70,-76,-90,-68,-69,-78,-78,-72,-100
1763545172588,-77,-74,-70,-76,-90,-68,-69,-78,-78,-72,-100
1763545172614,-77,-74,-70,-76,-90,-68,-69,-78,-78,-72,-100
1763545172639,-77,-74,-70,-76,-90,-68,-69,-78,-78,-72,-100
