timestamp,TJ-00CB-0000047D-0000,TJ-00CB-0000047F-0000,TJ-00CB-0000048A-0000,TJ-00CB-00000480-0000,TJ-00CB-00000482-0000,TJ-00CB-00000477-0000,TJ-00CB-00000483-0000,TJ-00CB-00000481-0000,TJ-00CB-00000486-0000,TJ-00CB-0000047B-0000,TJ-00CB-00000488-0000
1763545251980,-79,-75,-100,-100,-100,-83,-86,-49,-100,-100,-64
1763545252005,-79,-75,-100,-100,-100,-83,-86,-49,-100,-100,-64
1763545252030,-79,-75,-100,-100,-100,-83,-86,-49,-100,-100,-64
1763545252056,-79,-75,-100,-100,-100,-83,-86,-49,-100,-100,-64
1763545252082,-79,-75,-100,-100,-100,-83,-86,-49,-100,-100,-64
1763545252108,-79,-75,-100,-100,-100,-83,-86,-49,-100,-100,-64
1763545252133,-79,-75,-100,-100,-100,-83,-86,-49,-100,-100,-64
1763545252159,-79,-75,-100,-100,-100,-83,-86,-49,-100,-100,-64
1763545252183,-79,-75,-100,-100,-100,-83,-86,-49,-100,-100,-64
1763545252208,-79,-75,-100,-100,-100,-83,-86,-49,-100,-100,-64
1763545252233,-79,-75,-100,-100,-100,-83,-86,-49,-100,-100,-64
1763545252258,-79,-75,-100,-100,-100,-83,-86,-49,-100,-100,-64
1763545252283,-79,-75,-100,-100,-100,-83,-86,-49,-100,-100,-64
1763545252308,-79,-75,-100,-100,-100,-83,-86,-49,-100,-100,-64
1763545252334,-79,-75,-100,-100,-100,-83,-86,-49,-100,-100,-64
1763545252359,-79,-75,-100,-100,-100,-83,-86,-49,-100,-100,-64
1763545252385,-79,-75,-100,-100,-100,-83,-86,-49,-100,-100,-64
1763545252410,-79,-75,-100,-100,-100,-83,-86,-49,-100,-100,-64
1763545252436,-79,-75,-100,-100,-100,-83,-86,-49,-100,-100,-64
1763545252465,-79,-73,-100,-100,-100,-83,-100,-46,-100,-100,-62
1763545252490,-79,-73,-100,-100,-100,-83,-100,-46,-100,-100,-62
1763545252515,-79,-73,-100,-100,-100,-83,-100,-46,-100,-100,-62
1763545252541,-79,-73,-100,-100,-100,-83,-100,-46,-100,-100,-62
1763545252566,-79,-73,-100,-100,-100,-83,-100,-46,-100,-100,-62
1763545252591,-79,-73,-100,-100,-100,-83,-100,-46,-100,-100,-62
1763545252616,-79,-73,-100,-100,-100,-83,-100,-46,-100,-100,-62
1763545252641,-79,-73,-100,-100,-100,-83,-100,-46,-100,-100,-62
1763545252667,-79,-73,-100,-100,-100,-83,-100,-46,-100,-100,-62
1763545252691,-79,-73,-100,-100,-100,-83,-100,-46,-100,-100,-62
1763545252716,-79,-73,-100,-100,-100,-83,-100,-46,-100,-100,-62
1763545252741,-79,-73,-100,-100,-100,-83,-100,-46,-100,-100,-62
1763545252766,-79,-73,-100,-100,-100,-83,-100,-46,-100,-100,-62
1763545252791,-79,-73,-100,-100,-100,-83,-100,-46,-100,-100,-62
1763545252816,-79,-73,-100,-100,-100,-83,-100,-46,-100,-100,-62
1763545252842,-79,-73,-100,-100,-100,-83,-100,-46,-100,-100,-62
1763545252868,-79,-73,-100,-100,-100,-83,-100,-46,-100,-100,-62
1763545252893,-79,-73,-100,-100,-100,-83,-100,-46,-100,-100,-62
1763545252918,-79,-73,-100,-100,-100,-83,-100,-46,-100,-100,-62
1763545252944,-79,-73,-100,-100,-100,-83,-100,-46,-100,-100,-62
1763545252969,-81,-73,-100,-100,-100,-84,-100,-44,-100,-100,-61
1763545252994,-81,-73,-100,-100,-100,-84,-100,-44,-100,-100,-61
1763545253019,-81,-73,-100,-100,-100,-84,-100,-44,-100,-100,-61
1763545253044,-81,-73,-100,-100,-100,-84,-100,-44,-100,-100,-61
1763545253069,-81,-73,-100,-100,-100,-84,-100,-44,-100,-100,-61
1763545253094,-81,-73,-100,-100,-100,-84,-100,-44,-100,-100,-61
1763545253119,-81,-73,-100,-100,-100,-84,-100,-44,-100,-100,-61
1763545253145,-81,-73,-100,-100,-100,-84,-100,-44,-100,-100,-61
1763545253170,-81,-73,-100,-100,-100,-84,-100,-44,-100,-100,-61
1763545253195,-81,-73,-100,-100,-100,-84,-100,-44,-100,-100,-61
1763545253221,-81,-73,-100,-100,-100,-84,-100,-44,-100,-100,-61
1763545253247,-81,-73,-100,-100,-100,-84,-100,-44,-100,-100,-61
1763545253272,-81,-73,-100,-100,-100,-84,-100,-44,-100,-100,-61
1763545253297,-81,-73,-100,-100,-100,-84,-100,-44,-100,-100,-61
1763545253322,-81,-73,-100,-100,-100,-84,-100,-44,-100,-100,-61
1763545253348,-81,-73,-100,-100,-100,-84,-100,-44,-100,-100,-61
1763545253373,-81,-73,-100,-100,-100,-84,-100,-44,-100,-100,-61
1763545253398,-81,-73,-100,-100,-100,-84,-100,-44,-100,-100,-61
1763545253423,-81,-73,-100,-100,-100,-84,-100,-44,-100,-100,-61
1763545253448,-81,-73,-100,-100,-100,-84,-100,-44,-100,-100,-61
1763545253473,-81,-74,-100,-100,-100,-86,-100,-45,-100,-100,-60
1763545253498,-81,-74,-100,-100,-100,-86,-100,-45,-100,-100,-60
1763545253523,-81,-74,-100,-100,-100,-86,-100,-45,-100,-100,-60
1763545253548,-81,-74,-100,-100,-100,-86,-100,-45,-100,-100,-60
