timestamp,TJ-00CB-00000483-0000,TJ-00CB-0000048A-0000,TJ-00CB-00000480-0000,TJ-00CB-00000481-0000,TJ-00CB-0000047B-0000,TJ-00CB-00000482-0000,TJ-00CB-0000047D-0000,TJ-00CB-00000486-0000,TJ-00CB-0000047F-0000,TJ-00CB-00000488-0000,TJ-00CB-00000477-0000
1763545036032,-81,-75,-73,-100,-89,-53,-100,-100,-100,-100,-100
1763545036058,-81,-75,-73,-100,-89,-53,-100,-100,-100,-100,-100
1763545036083,-81,-75,-73,-100,-89,-53,-100,-100,-100,-100,-100
1763545036108,-81,-75,-73,-100,-89,-53,-100,-100,-100,-100,-100
1763545036133,-81,-75,-73,-100,-89,-53,-100,-100,-100,-100,-100
1763545036158,-81,-75,-73,-100,-89,-53,-100,-100,-100,-100,-100
1763545036183,-81,-75,-73,-100,-89,-53,-100,-100,-100,-100,-100
1763545036208,-81,-75,-73,-100,-89,-53,-100,-100,-100,-100,-100
1763545036233,-81,-75,-73,-100,-89,-53,-100,-100,-100,-100,-100
1763545036258,-81,-75,-73,-100,-89,-53,-100,-100,-100,-100,-100
1763545036283,-81,-75,-73,-100,-89,-53,-100,-100,-100,-100,-100
1763545036308,-81,-75,-73,-100,-89,-53,-100,-100,-100,-100,-100
1763545036333,-81,-75,-73,-100,-89,-53,-100,-100,-100,-100,-100
1763545036359,-82,-75,-72,-100,-89,-53,-100,-100,-100,-100,-100
1763545036383,-82,-75,-72,-100,-89,-53,-100,-100,-100,-100,-100
1763545036408,-82,-75,-72,-100,-89,-53,-100,-100,-100,-100,-100
1763545036433,-82,-75,-72,-100,-89,-53,-100,-100,-100,-100,-100
1763545036458,-82,-75,-72,-100,-89,-53,-100,-100,-100,-100,-100
1763545036484,-82,-75,-72,-100,-89,-53,-100,-100,-100,-100,-100
1763545036510,-82,-75,-72,-100,-89,-53,-100,-100,-100,-100,-100
1763545036535,-82,-75,-72,-100,-89,-53,-100,-100,-100,-100,-100
1763545036560,-82,-75,-72,-100,-89,-53,-100,-100,-100,-100,-100
1763545036585,-82,-75,-72,-100,-89,-53,-100,-100,-100,-100,-100
1763545036610,-82,-75,-72,-100,-89,-53,-100,-100,-100,-100,-100
1763545036636,-82,-75,-72,-100,-89,-53,-100,-100,-100,-100,-100
1763545036660,-82,-75,-72,-100,-89,-53,-100,-100,-100,-100,-100
1763545036685,-82,-75,-72,-100,-89,-53,-100,-100,-100,-100,-100
1763545036710,-82,-75,-72,-100,-89,-53,-100,-100,-100,-100,-100
1763545036735,-82,-75,-72,-100,-89,-53,-100,-100,-100,-100,-100
1763545036760,-82,-75,-72,-100,-89,-53,-100,-100,-100,-100,-100
1763545036785,-82,-75,-72,-100,-89,-53,-100,-100,-100,-100,-100
1763545036810,-82,-75,-72,-100,-89,-53,-100,-100,-100,-100,-100
1763545036835,-82,-75,-72,-100,-89,-53,-100,-100,-100,-100,-100
1763545036860,-81,-73,-72,-100,-100,-53,-100,-100,-100,-100,-100
1763545036885,-81,-73,-72,-100,-100,-53,-100,-100,-100,-100,-100
1763545036910,-81,-73,-72,-100,-100,-53,-100,-100,-100,-100,-100
1763545036935,-81,-73,-72,-100,-100,-53,-100,-100,-100,-100,-100
1763545036961,-81,-73,-72,-100,-100,-53,-100,-100,-100,-100,-100
1763545036987,-81,-73,-72,-100,-100,-53,-100,-100,-100,-100,-100
1763545037013,-81,-73,-72,-100,-100,-53,-100,-100,-100,-100,-100
1763545037037,-81,-73,-72,-100,-100,-53,-100,-100,-100,-100,-100
1763545037064,-81,-73,-72,-100,-100,-53,-100,-100,-100,-100,-100
1763545037089,-81,-73,-72,-100,-100,-53,-100,-100,-100,-100,-100
1763545037114,-81,-73,-72,-100,-100,-53,-100,-100,-100,-100,-100
1763545037139,-81,-73,-72,-100,-100,-53,-100,-100,-100,-100,-100
1763545037164,-81,-73,-72,-100,-100,-53,-100,-100,-100,-100,-100
1763545037189,-81,-73,-72,-100,-100,-53,-100,-100,-100,-100,-100
1763545037214,-81,-73,-72,-100,-100,-53,-100,-100,-100,-100,-100
1763545037240,-81,-73,-72,-100,-100,-53,-100,-100,-100,-100,-100
1763545037265,-81,-73,-72,-100,-100,-53,-100,-100,-100,-100,-100
1763545037290,-81,-73,-72,-100,-100,-53,-100,-100,-100,-100,-100
1763545037316,-81,-73,-72,-100,-100,-53,-100,-100,-100,-100,-100
1763545037341,-81,-73,-72,-100,-100,-53,-100,-100,-100,-100,-100
1763545037366,-80,-73,-72,-100,-100,-56,-100,-100,-100,-100,-85
1763545037391,-80,-73,-72,-100,-100,-56,-100,-100,-100,-100,-85
1763545037416,-80,-73,-72,-100,-100,-56,-100,-100,-100,-100,-85
1763545037441,-80,-73,-72,-100,-100,-56,-100,-100,-100,-100,-85
1763545037466,-80,-73,-72,-100,-100,-56,-100,-100,-100,-100,-85
1763545037491,-80,-73,-72,-100,-100,-56,-100,-100,-100,-100,-85
1763545037516,-80,-73,-72,-100,-100,-56,-100,-100,-100,-100,-85
1763545037541,-80,-73,-72,-100,-100,-56,-100,-100,-100,-100,-85
1763545037566,-80,-73,-72,-100,-100,-56,-100,-100,-100,-100,-85
1763545037591,-80,-73,-72,-100,-100,-56,-100,-100,-100,-100,-85
1763545037616,-80,-73,-72,-100,-100,-56,-100,-100,-100,-100,-85
1763545037641,-80,-73,-72,-100,-100,-56,-100,-100,-100,-100,-85
1763545037666,-80,-73,-72,-100,-100,-56,-100,-100,-100,-100,-85
1763545037691,-80,-73,-72,-100,-100,-56,-100,-100,-100,-100,-85
1763545037716,-80,-73,-72,-100,-100,-56,-100,-100,-100,-100,-85
1763545037741,-80,-73,-72,-100,-100,-56,-100,-100,-100,-100,-85
1763545037766,-80,-73,-72,-100,-100,-56,-100,-100,-100,-100,-85
1763545037791,-80,-73,-72,-100,-100,-56,-100,-100,-100,-100,-85
1763545037816,-80,-73,-72,-100,-100,-56,-100,-100,-100,-100,-85
1763545037842,-77,-70,-72,-100,-100,-58,-100,-100,-100,-100,-85
1763545037867,-77,-70,-72,-100,-100,-58,-100,-100,-100,-100,-85
1763545037892,-77,-70,-72,-100,-100,-58,-100,-100,-100,-100,-85
1763545037918,-77,-70,-72,-100,-100,-58,-100,-100,-100,-100,-85
