x,y,heading,step_length,RSSI_0,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,RSSI_6,RSSI_7,RSSI_8,RSSI_9,RSSI_10,RSSI_11
20.24895277821035,-6.366675921941002,8.138825536831096,0.7,1763545361281,-92,-64,-81,-80,-100,-100,-73,-100,-74,-86,-66
20.870823687620536,-6.307800767718457,5.408314063417498,0.6246516723385761,1763545361789,-92,-64,-83,-78,-100,-100,-76,-100,-74,-100,-68
21.49881228192479,-6.146975099862574,14.364524272849021,0.6482550192767658,1763545362353,-92,-64,-84,-77,-100,-100,-74,-100,-74,-100,-68
22.097639984263772,-5.9536817344493285,17.889367414938718,0.629251096305255,1763545362858,-100,-65,-84,-77,-100,-100,-73,-100,-74,-100,-69
22.68743851591509,-5.70343403474763,22.99119816776204,0.640691984610424,1763545363362,-100,-65,-85,-75,-100,-100,-70,-100,-74,-86,-71
23.248174988019226,-5.433856849238528,25.676180191285965,0.6221713992902608,1763545363867,-100,-64,-83,-72,-100,-86,-70,-100,-75,-85,-73
23.7115050652481,-5.001139119425465,43.04332270278116,0.6339711303833042,1763545364400,-82,-63,-82,-72,-100,-86,-70,-100,-75,-85,-75
24.200941223403902,-4.500687076678419,45.63758477096052,0.7,1763545364903,-82,-63,-83,-75,-100,-100,-71,-100,-74,-85,-75
24.60165888833292,-3.9762046163880616,52.61927122891827,0.6600428002322203,1763545365408,-83,-64,-84,-75,-100,-100,-72,-100,-74,-83,-74
24.976232957051604,-3.5262547766494037,50.2233086272327,0.5854575913226457,1763545365912,-83,-64,-86,-74,-100,-81,-72,-100,-77,-81,-74
25.309168665985485,-3.047699373663593,55.17328387881784,0.5829763803193208,1763545366471,-83,-65,-86,-73,-90,-83,-74,-100,-77,-100,-75
25.627047913138522,-2.6617553567007466,50.52373670070592,0.5,1763545366905,-79,-66,-87,-73,-90,-84,-74,-100,-76,-100,-76
25.947350512391118,-2.1951746693420335,55.530822475904394,0.5659428353677597,1763545367436,-79,-67,-87,-75,-100,-83,-73,-100,-77,-83,-77
26.31828438708979,-1.7468836058384594,50.3942902395646,0.5818563542801062,1763545367918,-79,-67,-100,-73,-100,-81,-73,-100,-79,-83,-77
26.65147687919012,-1.2686429544984021,55.1348934367105,0.5828647848225105,1763545368473,-80,-65,-100,-68,-100,-80,-71,-100,-79,-82,-78
27.024955007429217,-0.8082477409907716,50.95062048879127,0.5928319027293614,1763545369006,-80,-64,-79,-66,-84,-80,-67,-100,-74,-77,-79
27.39742904952303,-0.2273856500014133,57.33024099294765,0.690027304374423,1763545369511,-73,-62,-80,-62,-82,-76,-65,-100,-75,-74,-78
27.79484746136337,0.33469178035974945,54.737672918504344,0.6883839276095184,1763545370013,-62,-64,-82,-62,-81,-77,-65,-83,-77,-73,-78
28.132074023367753,0.9190259084629191,60.010216039753715,0.6746614909622353,1763545370545,-66,-65,-100,-65,-82,-74,-65,-83,-78,-76,-79
28.511916149269478,1.4799484993393952,55.89516886807925,0.6774320582649739,1763545371026,-69,-65,-100,-63,-81,-73,-69,-100,-75,-77,-77
28.872273081999523,2.0623691911243833,58.253978561033556,0.6848875682810368,1763545371505,-69,-65,-100,-63,-81,-73,-69,-100,-75,-77,-77
29.233393108249736,2.596314618867893,55.928573177389964,0.6445970781559238,1763545372010,-68,-63,-87,-62,-82,-73,-72,-100,-76,-75,-79
29.579189294463696,3.1774651923873356,59.246510194928085,0.6762477293877565,1763545372512,-66,-64,-87,-60,-81,-73,-74,-82,-82,-70,-79
29.967147916916467,3.6697646177699648,51.7599748285647,0.626793919057547,1763545372994,-64,-63,-100,-57,-82,-73,-74,-82,-79,-70,-81
30.304518383692827,4.261844568782966,60.32526778450422,0.6814524930209407,1763545373500,-67,-63,-100,-57,-100,-75,-75,-81,-78,-71,-80
30.661612444425998,4.783558357282109,55.60978276457517,0.6322194597772475,1763545374007,-71,-66,-100,-59,-82,-75,-77,-84,-80,-75,-80
30.986548173931034,5.36076598662215,60.622913398798744,0.6623834808306451,1763545374510,-72,-65,-100,-60,-82,-75,-76,-88,-79,-74,-82
31.38957833019067,5.933100410840485,54.84731172627372,0.7,1763545375014,-71,-66,-90,-59,-83,-72,-77,-82,-79,-73,-82
31.733453653719884,6.542813262818921,60.57719599279831,0.7,1763545375545,-71,-66,-100,-53,-77,-73,-76,-84,-80,-72,-80
32.098793482449544,7.139911922626315,58.53927062284717,0.7,1763545376077,-73,-69,-100,-55,-78,-73,-76,-83,-81,-69,-80
32.43837753443286,7.752025205964124,60.979660353724846,0.7,1763545376580,-79,-73,-100,-58,-79,-73,-79,-82,-83,-67,-80
32.83600465307294,8.288864904513458,53.47334426686936,0.6680600178251586,1763545377110,-81,-73,-100,-58,-80,-73,-79,-82,-83,-65,-81
33.190971789174924,8.892187647568578,59.52941744566461,0.7,1763545377587,-78,-72,-100,-59,-80,-71,-79,-81,-81,-64,-82
